robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
11,1,"[0.71946283242206, 0.5595875790850614]","[0.5510683821988186, 0.11243277318977385]","[0.581852666420982, 0.5544385878972594]","[0.08909060164454241, 0.8850414276525316]","[0.3643109336466984, 0.8953394100281356]","[-0.275220332002156, -0.010297982375603976]",0.23020041829094962
11,2,"[0.7192846512187709, 0.5578174962297563]","[0.5510683821988186, 0.11243277318977385]","[0.5667436033238283, 0.5256662503768706]","[0.3045791004939429, 0.7860016636436841]","[0.3669407476188932, 0.897199695250542]","[-0.3050820957898852, -0.06430249170577129]",0.22909451207067286
11,3,"[0.7186754930177831, 0.5562454929024689]","[0.5510683821988186, 0.11243277318977385]","[0.5502046357957507, 0.527596463039584]","[0.26992584095361466, 0.9072854242471695]","[0.3689083930823355, 0.8933552453979672]","[-0.33694171444406473, -0.057298059725769956]",0.22798219344038098
11,4,"[0.7181356413358759, 0.5544309220539746]","[0.5510683821988186, 0.11243277318977385]","[0.5390716317606966, 0.5344628894074352]","[0.2772171569751214, 0.9489762634993226]","[0.36994732018915055, 0.8879899042577094]","[-0.35812801915035863, -0.03993606529307869]",0.22652009686024016
11,5,"[0.7175812070219257, 0.552532969526976]","[0.5510683821988186, 0.11243277318977385]","[0.5307553972000899, 0.5413955665831667]","[0.28304499432861996, 0.9576659314344081]","[0.37039081161058146, 0.8824278732631661]","[-0.37365161964367166, -0.022274805887618543]",0.22491749614260634
11,6,"[0.7170151170332685, 0.5506176376641071]","[0.5510683821988186, 0.11243277318977385]","[0.5248164880782715, 0.5471170104312728]","[0.29373616540641334, 0.9513329238275408]","[0.3703331954598992, 0.8770698543952333]","[-0.3843972579099939, -0.007001254465668572]",0.22323955099292542
11,7,"[0.7164276447024557, 0.548714971816452]","[0.5510683821988186, 0.11243277318977385]","[0.5206223299772639, 0.5516065061264172]","[0.30512872752012754, 0.9400949176332987]","[0.3698795879523125, 0.8719860903913633]","[-0.3916106294503836, 0.005783068619930276]",0.22152065075880473
11,8,"[0.7158173872474154, 0.5468347819811854]","[0.5510683821988186, 0.11243277318977385]","[0.5177179780807469, 0.5550968308595468]","[0.3159000726848601, 0.9280766295131683]","[0.3691178919305273, 0.8671516078071508]","[-0.3961988183333369, 0.0165240977567227]",0.21977850364290133
11,9,"[0.7151855871020457, 0.5449786287221591]","[0.5510683821988186, 0.11243277318977385]","[0.515757458370131, 0.5578273582669991]","[0.3253587320960256, 0.9167487370823897]","[0.3681200355528372, 0.8625219651558025]","[-0.39885625746382947, 0.02569745908968013]",0.2180240409215339
11,10,"[0.7145348696378536, 0.5431451312479944]","[0.5510683821988186, 0.11243277318977385]","[0.5144867077932431, 0.5599871305739509]","[0.333292523838795, 0.9064585219698726]","[0.3669426072469921, 0.8580563162512497]","[-0.400096323689221, 0.03368399865191307]",0.2162647198995992
11,11,"[0.713868284590176, 0.5413322142040546]","[0.5510683821988186, 0.11243277318977385]","[0.5137194154215893, 0.5617144682600755]","[0.3397052969438999, 0.8971445885073767]","[0.36562957861643225, 0.8537224312173574]","[-0.4002977383371735, 0.0407645081120418]",0.21450603933198484
11,12,"[0.7131888739962883, 0.5395379250270399]","[0.5510683821988186, 0.11243277318977385]","[0.5133191699631477, 0.5631084314820646]","[0.3447087088036966, 0.8886335540462098]","[0.36421492440156744, 0.8494962023835272]","[-0.39973940806628105, 0.04714101291004935]",0.21275221132307168
11,13,"[0.7124994565786809, 0.5377606579189474]","[0.5510683821988186, 0.11243277318977385]","[0.5131860286245739, 0.5642401868806727]","[0.3484615829699762, 0.8807522194196764]","[0.3627248343505459, 0.8453598636660021]","[-0.398626855908214, 0.05295905792345046]",0.21100650210531496
11,14,"[0.7118025334127409, 0.5359991534801081]","[0.5510683821988186, 0.11243277318977385]","[0.5132467182018836, 0.5651616687890718]","[0.35113716756579444, 0.8733615896538781]","[0.3611794654700161, 0.8413002575188757]","[-0.3971116304217146, 0.05832503061792749]",0.20927143228403544
11,15,"[0.7111002590776093, 0.5342524303008003]","[0.5510683821988186, 0.11243277318977385]","[0.5134474939634526, 0.5659116197498845]","[0.352904903657608, 0.8663605254496777]","[0.3595943067804128, 0.837307476332236]","[-0.3953055302283135, 0.06331837889816838]",0.20754891672599682
11,16,"[0.7103944492702942, 0.5325197092499009]","[0.5510683821988186, 0.11243277318977385]","[0.5137489338282601, 0.5665196538927999]","[0.3539208001512037, 0.8596793116436044]","[0.35798123723135794, 0.8333738831916743]","[-0.393291030884068, 0.06799988928579803]",0.20584037499476793
11,17,"[0.7096866076699917, 0.5308003506266137]","[0.5510683821988186, 0.11243277318977385]","[0.5141221349206706, 0.56700895629371]","[0.35432302477489025, 0.853271287718501]","[0.3563493454922104, 0.8294934337402604]","[-0.3911289454986422, 0.07241721133419254]",0.20414682391460162
11,18,"[0.7089779616204419, 0.5290938080511767]","[0.5510683821988186, 0.11243277318977385]","[0.5145459286348958, 0.5673980774411688]","[0.3542306511551891, 0.8471054515296788]","[0.35470556544035586, 0.8256612158448072]","[-0.38886406597109224, 0.07660853877998419]",0.20246895649532845
11,19,"[0.7082695003181315, 0.5273995971481173]","[0.5510683821988186, 0.11243277318977385]","[0.5150048374455107, 0.5677021376889007]","[0.3537442366736978, 0.841160791229124]","[0.35305516881315, 0.8218731398085304]","[-0.38652932574524157, 0.08060508108156661]",0.20080720899296792
11,20,"[0.7075620118447841, 0.5257172755656591]","[0.5510683821988186, 0.11243277318977385]","[0.5154875733882336, 0.5679336490861865]","[0.35294737569867807, 0.8354222807454652]","[0.351402146983241, 0.818125730047665]","[-0.38414887691310096, 0.08443274704105486]",0.19916181723401408
11,21,"[0.7068561170933867, 0.5240464310041681]","[0.5510683821988186, 0.11243277318977385]","[0.5159859330346995, 0.5681030885122581]","[0.35190868701302025, 0.8298782190463262]","[0.3497495066008736, 0.8144159841271706]","[-0.38174036811737433, 0.08811331501617992]",0.1975328632662637
11,22,"[0.7061522997193607, 0.5223866745660755]","[0.5510683821988186, 0.11243277318977385]","[0.5164939832807943, 0.568219307824489]","[0.3506839062892738, 0.8245185635920744]","[0.3480994983287974, 0.8107412761009205]","[-0.3793166328771327, 0.09166526651682716]",0.19592031345373984
11,23,"[0.7054509319067821, 0.5207376374388913]","[0.5510683821988186, 0.11243277318977385]","[0.5170074608127074, 0.5682898357363851]","[0.34931789523267687, 0.8193339577493729]","[0.34645379363474194, 0.8070992888387363]","[-0.37688694218814933, 0.0951043965949876]",0.19432404915991286
11,24,"[0.7047522961163167, 0.5190989695233926]","[0.5510683821988186, 0.11243277318977385]","[0.5175233288239294, 0.5683211064307582]","[0.3478464699564932, 0.8143152197795801]","[0.34481362129347376, 0.8034879652857645]","[-0.3744579345847747, 0.09844427381473109]",0.19274389113296447
11,25,"[0.7040566031764037, 0.5174703390838334]","[0.5510683821988186, 0.11243277318977385]","[0.5180394496257194, 0.5683186374407537]","[0.3462980078470937, 0.8094531241448549]","[0.34317987266530714, 0.7999054721167351]","[-0.37203430710136876, 0.10169659671384057]",0.19117961862936045
11,26,"[0.7033640071607096, 0.5158514328355437]","[0.5510683821988186, 0.11243277318977385]","[0.5185543427851385, 0.5682871714490134]","[0.3446948259096105, 0.8047383571444154]","[0.3415531827988962, 0.7963501715688457]","[-0.36961932875114223, 0.10487147722693946]",0.18963098420597754
11,27,"[0.7026746175088904, 0.5142419561212549]","[0.5510683821988186, 0.11243277318977385]","[0.5190670064580543, 0.5682307916665476]","[0.343054342353631, 0.8001615676976999]","[0.3399339928303108, 0.7928205987539035]","[-0.36721522210167223, 0.10797767109058531]",0.18809772499289043
11,28,"[0.7019885088241831, 0.5126416329858595]","[0.5510683821988186, 0.11243277318977385]","[0.5195767854663714, 0.5681530172829978]","[0.3413900424922456, 0.7957134621611431]","[0.33832259792229125, 0.7893154427327437]","[-0.3648234467156233, 0.11102276859427662]",0.18657957114039417
11,29,"[0.7013057287391986, 0.5110502060615373]","[0.5510683821988186, 0.11243277318977385]","[0.5200832739826543, 0.5680568834523464]","[0.33971227358344, 0.7913849116855244]","[0.3367191840320689, 0.7858335302653651]","[-0.3624449095130886, 0.11401335478161823]",0.18507625202228178
