robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
2,1,"[0.9944241735136643, 0.8490776757210677]","[0.9668518498257337, 0.320750320879281]","[0.9665729373411265, 0.8140703040888015]","[0.005012422265293151, 0.9936414407454943]","[0.06071489461036879, 1.0636561840100267]","[-0.05570247234507564, -0.07001474326453239]",0.280090147650165
2,2,"[0.9944141486691337, 0.8470903928395768]","[0.9668518498257337, 0.320750320879281]","[0.9380145843301069, 0.7961476253574907]","[-0.04789908707313928, 0.9986305957965511]","[0.06640451055460536, 1.0628686974170087]","[-0.11279912867805364, -0.10188553496417208]",0.27837115931033873
2,3,"[0.99450994684328, 0.8450931316479837]","[0.9668518498257337, 0.320750320879281]","[0.9112343833891359, 0.7803075682799034]","[-0.08959107420050554, 0.9776476657211265]","[0.0719713067259214, 1.0616427342110215]","[-0.16655112690828822, -0.12957112673616056]",0.276813552404408
2,4,"[0.9946891289916809, 0.8431378363165415]","[0.9668518498257337, 0.320750320879281]","[0.8862266466227208, 0.7656049967673161]","[-0.12457762702054134, 0.9562689975128191]","[0.07736705480568654, 1.0602815987843661]","[-0.21692496473792033, -0.15506567909845081]",0.2754411755250973
2,5,"[0.9949382842457221, 0.8412252983215158]","[0.9668518498257337, 0.320750320879281]","[0.8628827232638071, 0.7518635352001961]","[-0.15396371948555165, 0.9374235994953162]","[0.08258398103635974, 1.0588223075087335]","[-0.2641111219638299, -0.17872352624263943]",0.2742254695313631
2,6,"[0.9952462116846932, 0.8393504511225252]","[0.9668518498257337, 0.320750320879281]","[0.841089236264594, 0.7390049413612008]","[-0.17837606975633263, 0.9212060375301312]","[0.08762011880193883, 1.0572693624387532]","[-0.3083139508401984, -0.20069101952264878]",0.2731356943136806
2,7,"[0.9956029638242059, 0.8375080390474648]","[0.9668518498257337, 0.320750320879281]","[0.8207394454144071, 0.7269672085662408]","[-0.19833830395840463, 0.9073832966889916]","[0.09247493167890414, 1.0556236024326124]","[-0.3497270368195975, -0.2210816609624482]",0.2721448183699545
2,8,"[0.9959996404321226, 0.8356932724540869]","[0.9668518498257337, 0.320750320879281]","[0.8017341181908868, 0.7156941027104281]","[-0.2143211978266518, 0.895703887947567]","[0.09714868566102505, 1.0538857370983434]","[-0.38853104448247167, -0.23999833948731752]",0.27122972646088944
2,9,"[0.996428282827776, 0.8339018646781917]","[0.9668518498257337, 0.320750320879281]","[0.7839811399530257, 0.7051335846732031]","[-0.2267522880754553, 0.8859343290823232]","[0.10164229457903459, 1.052056743598819]","[-0.4248942857495006, -0.25753656000997727]",0.2703707781374384
2,10,"[0.9968817874039269, 0.832129996020027]","[0.9668518498257337, 0.320750320879281]","[0.7673950055663343, 0.6952373565366782]","[-0.23602016605376552, 0.8778619481679282]","[0.10595723152390485, 1.0501378781781618]","[-0.45897356367518505, -0.2737852789666977]",0.2695513470762944
