robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
9,1,"[0.42906790385780735, 0.09465901697429394]","[0.9021746805371165, 0.1936189729139315]","[0.46458490105372763, 0.3758180879055988]","[-0.8822829584059617, 0.30816641579707366]","[-0.9533169527978023, -0.2541517260655361]","[0.07103399439184055, 0.5623181418626098]",0.2416542830451376
9,2,"[0.43083246977461925, 0.09404268414269978]","[0.9021746805371165, 0.1936189729139315]","[0.4716857815006195, 0.3993803137061105]","[-0.927458044126455, -0.16203397457116803]","[-0.9508550838701945, -0.26022010345514557]","[0.08170662345200053, 0.6106752591268214]",0.2415689230425685
9,3,"[0.43268738586287214, 0.09436675209184212]","[0.9021746805371165, 0.1936189729139315]","[0.468807685981882, 0.4104393642198827]","[-0.9705572953134924, -0.19794710298711482]","[-0.9461986493722906, -0.2617189640697869]","[0.0722406002380197, 0.6321452242560812]",0.24038998042047052
9,4,"[0.4346285004534991, 0.09476264629781635]","[0.9021746805371165, 0.1936189729139315]","[0.46571813863474987, 0.4189285871177885]","[-0.9751341104785431, -0.19346669612260933]","[-0.9413102878034849, -0.2625458413962247]","[0.062179276362501534, 0.6483318816399444]",0.23897701610180833
9,5,"[0.43657876867445616, 0.09514957969006156]","[0.9021746805371165, 0.1936189729139315]","[0.46350498974420046, 0.4270779141441115]","[-0.9686774290495644, -0.17914134905582435]","[-0.9365770679392694, -0.2633244533385498]","[0.05385244213948859, 0.6638566689080999]",0.23756591860455292
9,6,"[0.4385161235325553, 0.09550786238817321]","[0.9021746805371165, 0.1936189729139315]","[0.462098015573074, 0.43500613805147736]","[-0.959824101548783, -0.16498883874927506]","[-0.932033492417226, -0.2641218761841774]","[0.047163784081037385, 0.6789965513266083]",0.23618656597320623
9,7,"[0.4404357717356529, 0.09583784006567177]","[0.9021746805371165, 0.1936189729139315]","[0.4612921529100045, 0.4426031334169096]","[-0.9508983605517136, -0.15350081534911528]","[-0.9276490938377975, -0.264915324366767]","[0.04171276234870325, 0.6935305867024757]",0.2348320855731213
9,8,"[0.4423375684567563, 0.09614484169637]","[0.9021746805371165, 0.1936189729139315]","[0.46092446576388313, 0.4497788029385944]","[-0.9423707113255051, -0.14495280884190836]","[-0.9233916036221457, -0.2656750546835679]","[0.03717379461425363, 0.7072679224844488]",0.23349162103256135
9,9,"[0.4442223098794073, 0.09643474731405381]","[0.9021746805371165, 0.1936189729139315]","[0.46088226599475435, 0.45649077102505825]","[-0.9342474372024144, -0.1389650584508328]","[-0.9192367325384877, -0.26637965594195623]","[0.03331991223069408, 0.7201120474220088]",0.23215693693129824
9,10,"[0.44609080475381213, 0.09671267743095548]","[0.9021746805371165, 0.1936189729139315]","[0.4610889009914867, 0.4627313599871353]","[-0.9264437755220661, -0.13504885477306963]","[-0.9151673708141436, -0.267016327477188]","[0.029996192475349126, 0.7320373651123597]",0.23082279374084605
9,11,"[0.44794369230485626, 0.09698277514050162]","[0.9021746805371165, 0.1936189729139315]","[0.46149118818354934, 0.46851325838653357]","[-0.918878909209047, -0.13276988931919775]","[-0.911171475640259, -0.2675784921960661]","[0.027094991757386166, 0.7430609664920639]",0.22948618885312252
