robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
5,1,"[0.9412392345915409, 0.9656916738622313]","[0.7504645765974756, 0.7929782198838581]","[0.6363291304338669, 0.8562349327491808]","[0.3205672951565959, 0.3235355597341364]","[0.930387503471944, 0.5424490419602374]","[-0.6098202083153481, -0.21891348222610096]",0.16068076213117194
5,2,"[0.9405981000012277, 0.965044602742763]","[0.7504645765974756, 0.7929782198838581]","[0.5752574843576366, 0.7645579650772031]","[0.7945867365040754, 0.34118342964114995]","[1.0378801549659682, 0.7050087135158178]","[-0.7306812312871822, -0.4009732753311199]",0.22205938842122414
5,3,"[0.9390089265282195, 0.9643622358834808]","[0.7504645765974756, 0.7929782198838581]","[0.5497700883918702, 0.7214544011648066]","[0.9314441445407688, 0.5255111127251835]","[1.0777186085069168, 0.7800021344928589]","[-0.7784776762726986, -0.48581566943734833]",0.2543814331842706
5,4,"[0.937146038239138, 0.9633112136580304]","[0.7504645765974756, 0.7929782198838581]","[0.5361048418458354, 0.697023231082891]","[0.9915579235011676, 0.6333457388349104]","[1.0952370767912696, 0.8199843561835956]","[-0.8020823927866052, -0.5325759651502788]",0.2724322946703981
5,5,"[0.9351629223921357, 0.9620445221803606]","[0.7504645765974756, 0.7929782198838581]","[0.5279535773966025, 0.6810530471070015]","[1.0261543030365807, 0.6944866901894213]","[1.1023735125812801, 0.8439172597250515]","[-0.8144186899910664, -0.5619829501467182]",0.28299498725553024
5,6,"[0.9331106137860625, 0.9606555487999818]","[0.7504645765974756, 0.7929782198838581]","[0.5228907106592966, 0.6694121537034085]","[1.0481400205545084, 0.7309797630942723]","[1.1036879000053528, 0.8595927690060796]","[-0.8204398062535319, -0.5824867901931468]",0.2892680372309814
5,7,"[0.9310143337449535, 0.9591935892737933]","[0.7504645765974756, 0.7929782198838581]","[0.5196940770281118, 0.6602768304733174]","[1.0618357259712121, 0.7543468305297216]","[1.1014759763852708, 0.8704809046207269]","[-0.8226405134336834, -0.5978335176009517]",0.2929077878770972
5,8,"[0.928890662293011, 0.9576848956127338]","[0.7504645765974756, 0.7929782198838581]","[0.5176632560291491, 0.6527438125767006]","[1.0694707454744399, 0.7702427615868651]","[1.0970615026660222, 0.8783073009226114]","[-0.8224548125277238, -0.6098821660720666]",0.2948514964934107
5,9,"[0.9267517208020621, 0.9561444100895601]","[0.7504645765974756, 0.7929782198838581]","[0.516371967543525, 0.646318226993515]","[1.0725712941021253, 0.7815649848960107]","[1.0912578442745402, 0.8840195099842851]","[-0.8207595065170743, -0.6196523661920901]",0.2956637878928137
5,10,"[0.9246065782138579, 0.9545812801197681]","[0.7504645765974756, 0.7929782198838581]","[0.5155534418197265, 0.6407047238554883]","[1.0723000420518716, 0.7898949323579176]","[1.0845796487422015, 0.8881839217475236]","[-0.8181062727882629, -0.6277531125285596]",0.2956996506741507
5,11,"[0.9224619781297542, 0.9530014902550522]","[0.7504645765974756, 0.7929782198838581]","[0.5150385059740927, 0.63571418700733]","[1.069560392061829, 0.796151991355015]","[1.0773570529447478, 0.8911636865882884]","[-0.8148469443113229, -0.6345746064954445]",0.2951891598131766
5,12,"[0.9203228573456305, 0.9514091862723422]","[0.7504645765974756, 0.7929782198838581]","[0.5147192535490659, 0.631218410794647]","[1.0650480894756438, 0.8009021542145246]","[1.069803048330126, 0.8932053286368195]","[-0.8112072075931291, -0.6403815509553903]",0.2942849811518995
5,13,"[0.9181927611666791, 0.9498073819639131]","[0.7504645765974756, 0.7929782198838581]","[0.5145267666349914, 0.6271263802207231]","[1.059290418157601, 0.8045121400972478]","[1.062055159295445, 0.8944841272978522]","[-0.8073319890633754, -0.6453620034863801]",0.29309046760213364
5,14,"[0.9160741803303639, 0.9481983576837186]","[0.7504645765974756, 0.7929782198838581]","[0.5144171190760984, 0.6233710234490715]","[1.052680331115743, 0.8072306298203331]","[1.0542019177234545, 0.895129477222086]","[-0.803314122508531, -0.6496546684692943]",0.291676904756432
5,15,"[0.9139688196681325, 0.9465838964240779]","[0.7504645765974756, 0.7929782198838581]","[0.5143624573307144, 0.6199013840099461]","[1.0455059952412413, 0.809233180923927]","[1.0462999383486664, 0.895239875425877]","[-0.7992127246748362, -0.6533650248282636]",0.290094379231465
5,16,"[0.91187780767765, 0.9449654300622301]","[0.7504645765974756, 0.7929782198838581]","[0.5143452682778769, 0.6166777647478663]","[1.0379754737342533, 0.8106481542107026]","[1.0383850330799407, 0.894892217922599]","[-0.7950650787995464, -0.6565753306287276]",0.2883787631968156
5,17,"[0.9098018567301815, 0.9433441337538087]","[0.7504645765974756, 0.7929782198838581]","[0.5143546764059608, 0.6136685863266479]","[1.0302366522667952, 0.8115722918111204]","[1.0304794848490095, 0.8941478131087905]","[-0.7908943606484415, -0.6593510948543215]",0.28655627199203126
5,18,"[0.9077413834256479, 0.9417209891701864]","[0.7504645765974756, 0.7929782198838581]","[0.5143840454719781, 0.6108482801717893]","[1.0223928833938873, 0.8120804354774862]","[1.0225968219729502, 0.8930564147697716]","[-0.7867146759073396, -0.6617454179967943]",0.2846464757747742
5,19,"[0.9056965976588601, 0.9400968282992315]","[0.7504645765974756, 0.7929782198838581]","[0.514429423967182, 0.6081958304464493]","[1.0145150015086914, 0.8122318011655009]","[1.0147449547677896, 0.8916590129657547]","[-0.7825343473833561, -0.6638019957055643]",0.2826643115307898
5,20,"[0.9036675676558428, 0.9384723646969004]","[0.7504645765974756, 0.7929782198838581]","[0.5144885387105047, 0.6056937374640159]","[1.0066503892692182, 0.8120741553117696]","[1.006928234218343, 0.8899898186452769]","[-0.7783580578906761, -0.6655572544657691]",0.2806214408265641
5,21,"[0.9016542668773043, 0.9368482163862769]","[0.7504645765974756, 0.7929782198838581]","[0.5145601454337111, 0.6033272631199252]","[0.9988297211804528, 0.8116466687458348]","[0.9991487991581254, 0.8880777088842707]","[-0.7741882428871865, -0.6670419065327033]",0.2785271749520115
5,22,"[0.8996566074349435, 0.9352249230487852]","[0.7504645765974756, 0.7929782198838581]","[0.5146436121567247, 0.6010838701267245]","[0.9910719187832585, 0.8109819121804076]","[0.9914074531757295, 0.8859473015895637]","[-0.7700259905564375, -0.6682821058441215]",0.2763891114295711
5,23,"[0.8976744635973769, 0.9336029592244244]","[0.7504645765974756, 0.7929782198838581]","[0.5147386543373155, 0.5989527976073348]","[0.98338775309746, 0.8101072805826542]","[0.9837042306679132, 0.8836197695918939]","[-0.7658716185201229, -0.6693003232341792]",0.274213576360728
5,24,"[0.895707688091182, 0.931982744663259]","[0.7504645765974756, 0.7929782198838581]","[0.5148451688068159, 0.5969247346713685]","[0.975782438138356, 0.8090460300331896]","[0.9760387576992717, 0.8811134675442048]","[-0.7617250385687322, -0.670116019983781]",0.2720059351353442
5,25,"[0.8937561232149053, 0.9303646526031927]","[0.7504645765974756, 0.7929782198838581]","[0.5149631317773484, 0.5949915657457763]","[0.9682574805502276, 0.8078180474908212]","[0.9684104778224618, 0.8784444217820188]","[-0.7575859828751137, -0.6707461737148328]",0.26977081320279594
5,26,"[0.8918196082538048, 0.9287490165082111]","[0.7504645765974756, 0.7929782198838581]","[0.5150925381637983, 0.5931461693589567]","[0.9608119860717236, 0.8064404340054339]","[0.9608187894746701, 0.8756267181173638]","[-0.753454140180013, -0.6712056942985087]",0.2675122549085311
5,27,"[0.8898979842816613, 0.9271361356402003]","[0.7504645765974756, 0.7929782198838581]","[0.5152333673102979, 0.5913822573664956]","[0.9534435727359243, 0.8049279560017116]","[0.9532631259168257, 0.8726728124053527]","[-0.7493292339427269, -0.6715077565474092]",0.26523383932602906
5,28,"[0.8879910971361895, 0.9255262797281968]","[0.7504645765974756, 0.7929782198838581]","[0.5153855653700969, 0.5896942452058743]","[0.9461490015189112, 0.8032934020240016]","[0.9457429982563945, 0.8695937818288578]","[-0.7452110635321851, -0.6716640690446449]",0.2629387659626692
5,29,"[0.8860987991331517, 0.9239196929241488]","[0.7504645765974756, 0.7929782198838581]","[0.5155490379838514, 0.5880771462615366]","[0.93892460546111, 0.8015478706983097]","[0.9382580151400928, 0.8663995300732833]","[-0.7410995222986005, -0.6716850933252243]",0.2606299191577876
5,30,"[0.8842209499222294, 0.9223165971827522]","[0.7504645765974756, 0.7929782198838581]","[0.5157236491377342, 0.5865264851792084]","[0.9317665761011222, 0.7997010077403273]","[0.9308078880615993, 0.863098956204167]","[-0.7369946015689905, -0.6715802240070876]",0.25830991725163216
5,31,"[0.8823574167700272, 0.9207171951672715]","[0.7504645765974756, 0.7929782198838581]","[0.5159092235544155, 0.5850382262264219]","[0.9246711496652196, 0.7977612044138427]","[0.9233924281332044, 0.859700094660356]","[-0.7328963864312235, -0.6713579378816992]",0.25598115074539907
5,32,"[0.8805080744706968, 0.9191216727584438]","[0.7504645765974756, 0.7929782198838581]","[0.5161055509365777, 0.583608713710141]","[0.9176347234437358, 0.7957357661283188]","[0.9160115381078567, 0.8562102320361166]","[-0.7288050470682381, -0.6710259180966056]",0.2536458124048694
5,33,"[0.8786728050238093, 0.9175302012261872]","[0.7504645765974756, 0.7929782198838581]","[0.5163123910153922, 0.5822346221356625]","[0.910653924049737, 0.7936310573222471]","[0.9086652020678183, 0.8526360050476028]","[-0.7247208280168342, -0.6705911581810495]",0.2513059213907205
5,34,"[0.8768514971757098, 0.9159429391115428]","[0.7504645765974756, 0.7929782198838581]","[0.51652947876844, 0.5809129142935409]","[0.903725642941057, 0.7914526270429851]","[0.9013534742895539, 0.8489834831277729]","[-0.7206440368145395, -0.6700600496360039]",0.24896334289876804
5,35,"[0.8750440458898276, 0.9143600338574568]","[0.7504645765974756, 0.7929782198838581]","[0.5167565294377992, 0.579640805841095]","[0.8968470500469847, 0.7892053184503768]","[0.8940764681983555, 0.8452582383766486]","[-0.716575032904057, -0.6694384560327236]",0.24661980437699405
5,36,"[0.8732503517897336, 0.912781623220556]","[0.7504645765974756, 0.7929782198838581]","[0.5169932431491081, 0.5784157352354653]","[0.8900155930923116, 0.7868933646648483]","[0.8868343459376422, 0.8414654050465591]","[-0.7125142172812511, -0.6687317759701814]",0.2442769090951523
5,37,"[0.871470320603549, 0.9112078364912263]","[0.7504645765974756, 0.7929782198838581]","[0.5172393090393067, 0.5772353380996311]","[0.8832289878970019, 0.7845204728292227]","[0.8796273088277831, 0.8376097303196077]","[-0.7084620231284846, -0.6679449967831903]",0.24193614763776405
5,38,"[0.869703862627755, 0.9096387955455678]","[0.7504645765974756, 0.7929782198838581]","[0.5174944088663026, 0.5760974252780112]","[0.876485203287779, 0.7820898978736777]","[0.8724555888311732, 0.8336956178050213]","[-0.7044189075229048, -0.6670827405351132]",0.23959890774574222
5,39,"[0.8679508922211795, 0.9080746157498205]","[0.7504645765974756, 0.7929782198838581]","[0.5177582201125239, 0.5749999639762946]","[0.869782443098077, 0.7796045072078454]","[0.8653194410429879, 0.8297271649242716]","[-0.7003853442173111, -0.6661493035470518]",0.23726648282755725
5,40,"[0.8662113273349833, 0.9065154067354049]","[0.7504645765974756, 0.7929782198838581]","[0.5180304186157745, 0.5739410614897892]","[0.8631191269173302, 0.7770668373743757]","[0.8582191371695913, 0.8257081951452019]","[-0.6963618174384176, -0.6651486904912314]",0.2349400793853294
5,41,"[0.8644850890811486, 0.9049612730606561]","[0.7504645765974756, 0.7929782198838581]","[0.5183106807713467, 0.5729189511123297]","[0.8564938706802593, 0.7744791435584388]","[0.8511549599249897, 0.8216422858605835]","[-0.6923488166196039, -0.6640846438966528]",0.23262082354596675
5,42,"[0.8627721013397881, 0.9034123147735392]","[0.7504645765974756, 0.7929782198838581]","[0.5185986853531207, 0.5719319798884903]","[0.8499054677904759, 0.7718434427404163]","[0.8441271982606264, 0.8175327925724504]","[-0.6883468319733348, -0.6629606697700978]",0.23030976684654042
5,43,"[0.8610722904042072, 0.9018686278880584]","[0.7504645765974756, 0.7929782198838581]","[0.5188941150010983, 0.5709785979291687]","[0.8433528711994809, 0.7691615511932884]","[0.8371361433390593, 0.8133828699344022]","[-0.6843563508062178, -0.6617800599177794]",0.22800789139242922
5,44,"[0.8593855846618083, 0.9003303047856719]","[0.7504645765974756, 0.7929782198838581]","[0.519196657420241, 0.5700573490573312]","[0.8368351766756568, 0.7664351169547343]","[0.8301820851634865, 0.8091954901146409]","[-0.6803778544831345, -0.6605459114566814]",0.22571611448348922
5,45,"[0.857711914308457, 0.8987974345517624]","[0.7504645765974756, 0.7929782198838581]","[0.5195060063317124, 0.5691668625889734]","[0.8303516073723389, 0.7636656478421742]","[0.8232653097801029, 0.8049734588688289]","[-0.6764118159534891, -0.659261143925578]",0.22343529278562596
5,46,"[0.8560512110937123, 0.897270103256078]","[0.7504645765974756, 0.7929782198838581]","[0.5198218622133761, 0.568305846085834]","[0.8239014997211779, 0.7608545355241292]","[0.8163860969770786, 0.8007194296508792]","[-0.6724586977606724, -0.657928514340488]",0.22116622611122536
5,47,"[0.85440340809427, 0.8957483941850298]","[0.7504645765974756, 0.7929782198838581]","[0.5201439328620805, 0.5674730789423926]","[0.8174842906237596, 0.7580030761115994]","[0.8095447184115299, 0.7964359160390905]","[-0.6685189504643789, -0.6565506304852744]",0.21890966086094865
5,48,"[0.8527684395130224, 0.8942323880328066]","[0.7504645765974756, 0.7929782198838581]","[0.5204719338061268, 0.5666674066912359]","[0.8110995058817203, 0.7551124876877084]","[0.8027414361035058, 0.7921253027127242]","[-0.6645930114137912, -0.6551299626831413]",0.21666629317066333
5,49,"[0.851146240501259, 0.8927221630574311]","[0.7504645765974756, 0.7929782198838581]","[0.5208055885924959, 0.5658877359287866]","[0.8047467497868538, 0.7521839251519892]","[0.7959765012433403, 0.7877898551787063]","[-0.6606813038175261, -0.653668854257289]",0.2144367718002616
5,50,"[0.8495367470016852, 0.8912177952071272]","[0.7504645765974756, 0.7929782198838581]","[0.5211446289699563, 0.5651330297783282]","[0.7984256957834646, 0.7492184927170827]","[0.7892501532655315, 0.7834317284183763]","[-0.6567842360634579, -0.6521695308575979]",0.21222170079540484
5,51,"[0.8479398956101183, 0.889719358221693]","[0.7504645765974756, 0.7929782198838581]","[0.5214887949861133, 0.5644023038197539]","[0.79213607811227, 0.7462172543600544]","[0.7825626191484943, 0.7790529745991603]","[-0.6529022012480099, -0.6506341088038783]",0.2100216419485572
5,52,"[0.8463556234538937, 0.8882269237129728]","[0.7504645765974756, 0.7929782198838581]","[0.5218378350137733, 0.5636946224259325]","[0.785877684346288, 0.7431812424978395]","[0.775914112905053, 0.7746555499749022]","[-0.6490355768802407, -0.6490646025740807]",0.20783711708180239
5,53,"[0.8447838680852011, 0.8867405612279772]","[0.7504645765974756, 0.7929782198838581]","[0.5221915057196579, 0.5630090954543855]","[0.779650348732824, 0.7401114651264071]","[0.769304835233429, 0.7702413210807032]","[-0.6451847247310865, -0.6474629315471834]",0.20566861017072774
5,54,"[0.8432245673877354, 0.8852603382977243]","[0.7504645765974756, 0.7929782198838581]","[0.5225495719864885, 0.5623448752503728]","[0.7734539462608487, 0.7370089116359341]","[0.7627349733027642, 0.7658120703129653]","[-0.6413499908024938, -0.645830926094703]",0.2035165693259676
5,55,"[0.8416776594952138, 0.8837863204744525]","[0.7504645765974756, 0.7929782198838581]","[0.5229118067977293, 0.561701153923739]","[0.7672883873790037, 0.7338745574895004]","[0.7562047006509485, 0.7613695009724731]","[-0.637531705394969, -0.644170333101427]",0.20138140864674084
5,56,"[0.8401430827204558, 0.8823185713594734]","[0.7504645765974756, 0.7929782198838581]","[0.5232779910927903, 0.5610771608671526]","[0.761153613295713, 0.7307093679304018]","[0.7497141771757584, 0.7569152418374082]","[-0.633730183255331, -0.6424828209846416]",0.19926350995881004
5,57,"[0.8386207754938644, 0.8808571526236126]","[0.7504645765974756, 0.7929782198838581]","[0.523647913599236, 0.5604721604878535]","[0.7550495917991114, 0.7275143008629934]","[0.7432635492031087, 0.7524508513238756]","[-0.6299457237892567, -0.6407699842715182]",0.19716322444766873
5,58,"[0.8371106763102661, 0.8794021240218867]","[0.7504645765974756, 0.7929782198838581]","[0.5240213706474629, 0.5598854501288179]","[0.7489763135404991, 0.7242903090338687]","[0.736852949618627, 0.747977821283581]","[-0.6261786113256065, -0.6390333477861376]",0.19508087419639333
5,59,"[0.8356127236831852, 0.8779535434038189]","[0.7504645765974756, 0.7929782198838581]","[0.524398165972402, 0.5593163581584875]","[0.7429337887307079, 0.7210383416239985]","[0.730482498050829, 0.7434975804815184]","[-0.6224291154215664, -0.6372743704906629]",0.19301675363641915
5,60,"[0.8341268561057238, 0.8765114667205709]","[0.7504645765974756, 0.7929782198838581]","[0.5247781105060287, 0.5587642422109627]","[0.7369220442040297, 0.717759345348042]","[0.7241523010959475, 0.7390114977907205]","[-0.6186974911993901, -0.6354944490192165]",0.19097113091849727
5,61,"[0.8326530120173158, 0.8750759480298748]","[0.7504645765974756, 0.7929782198838581]","[0.5251610221638116, 0.558228487560907]","[0.7309411208091958, 0.7144542651442515]","[0.7178624525759881, 0.7345208851361753]","[-0.6149839797070085, -0.6336949209379354]",0.18894424921022998
5,62,"[0.8311911297756974, 0.8736470394995862]","[0.7504645765974756, 0.7929782198838581]","[0.525546725627673, 0.5577085056194253]","[0.7249910710912982, 0.7111240445270713]","[0.7116130338228877, 0.730027000215746]","[-0.6112888082960488, -0.6318770677603218]",0.18693632792584297
