robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
4,1,"[0.9013966233572133, 0.1935902150776813]","[0.5131460905854898, 0.17924005478882832]","[0.7589010094254596, 0.3792317060452576]","[0.6340054516116933, 0.21434181154528223]","[0.9189966794752007, -0.15694117038987035]","[-0.2849912278635074, 0.3712829819351526]",0.17832828487706898
4,2,"[0.9007626179056015, 0.193375873266136]","[0.5131460905854898, 0.17924005478882832]","[0.759045061153751, 0.3790461220699625]","[0.9185067257518804, -0.1573410961767107]","[0.916950611392074, -0.15739861184921114]","[-0.283435113503701, 0.37134049760765303]",0.17772504720702073
4,3,"[0.8998441111798496, 0.19353321436231272]","[0.5131460905854898, 0.17924005478882832]","[0.7587605598796109, 0.3794178049776845]","[0.915747603392182, -0.15686958784531244]","[0.9144795924889585, -0.157298271468403]","[-0.2821671026004775, 0.3717691812307436]",0.1769684782800548
4,4,"[0.8989283635764574, 0.19369008395015802]","[0.5131460905854898, 0.17924005478882832]","[0.6799627998905592, 0.48150433669158244]","[0.6780209095715856, 0.14915076989767412]","[0.9905301096678336, -0.258914194418765]","[-0.4379311273717965, 0.5756285054828488]",0.21442824657753462
4,5,"[0.8982503426668859, 0.19354093318026033]","[0.5131460905854898, 0.17924005478882832]","[0.6985851327973448, 0.46613743799235496]","[0.8881424757613897, -0.1002334213145625]","[0.9698737140323332, -0.2439947480292306]","[-0.3993304197390821, 0.5451930096241893]",0.20559732532794714
4,6,"[0.8973622001911244, 0.1936411666015749]","[0.5131460905854898, 0.17924005478882832]","[0.698435677084, 0.4662998683450924]","[0.9693359957364618, -0.24358751144334068]","[0.9673587423183938, -0.2438564781180243]","[-0.3978530462142489, 0.545317403487035]",0.2047866755179072
4,7,"[0.896392864195388, 0.19388475411301825]","[0.5131460905854898, 0.17924005478882832]","[0.7104145892053836, 0.43555840266828016]","[1.003023908782684, -0.3353752819575753]","[0.9524718222098009, -0.21238424990688204]","[-0.3719565499800088, 0.4833472971105238]",0.1935895922878275
4,8,"[0.8953898402866053, 0.19422012939497582]","[0.5131460905854898, 0.17924005478882832]","[0.7093147526317721, 0.443615618726968]","[0.9470500118337134, -0.17202961702391856]","[0.9505625870570642, -0.21943534011969715]","[-0.3721501753096663, 0.4987909786639843]",0.19474571099322363
4,9,"[0.8944427902747716, 0.19439215901199974]","[0.5131460905854898, 0.17924005478882832]","[0.7093971899423214, 0.44336823679134196]","[0.9481983703816628, -0.20307065627383394]","[0.9476389997110138, -0.21867186933299937]","[-0.3700912006649004, 0.49795215555868444]",0.1937322402107192
4,10,"[0.89349459190439, 0.19459522966827358]","[0.5131460905854898, 0.17924005478882832]","[0.6772058762065982, 0.48886939566729115]","[0.7868116360428856, 0.009826745302531081]","[0.9769857183355921, -0.26356381624012704]","[-0.43257743139558347, 0.5885483319980351]",0.21158981050742048
4,11,"[0.8927077802683471, 0.19458540292297105]","[0.5131460905854898, 0.17924005478882832]","[0.6793329779080369, 0.48267208236221226]","[0.9073340971545829, -0.17293535873303134]","[0.9724981817260248, -0.25739598317095574]","[-0.4267496047206203, 0.5761733588784824]",0.20856392656057848
4,12,"[0.8918004461711925, 0.19475833828170408]","[0.5131460905854898, 0.17924005478882832]","[0.6791574730473311, 0.4829085335849213]","[0.9629566777387096, -0.243908726816215]","[0.9699516842952668, -0.2571136283174657]","[-0.42528594624772276, 0.5763003906064345]",0.2077437226627078
4,13,"[0.8908374894934538, 0.19500224700852029]","[0.5131460905854898, 0.17924005478882832]","[0.6779523347820964, 0.476432266230408]","[0.944153151173639, -0.2616590961747853]","[0.9682679525272854, -0.24990563478250377]","[-0.42577030942271477, 0.5628600384437754]",0.20516071192048063
4,14,"[0.8898933363422801, 0.19526390610469507]","[0.5131460905854898, 0.17924005478882832]","[0.6801548156046284, 0.48030473414727304]","[0.9500275652534494, -0.18727957733540257]","[0.9632330122512323, -0.25299312541084445]","[-0.4194770414753033, 0.5700816560851559]",0.20481451136252876
4,15,"[0.8889433087770267, 0.1954511856820305]","[0.5131460905854898, 0.17924005478882832]","[0.6873495215956278, 0.4760019720814448]","[0.9974226570937437, -0.25448665158301453]","[0.9531882235644726, -0.24812852461301]","[-0.40318757436279773, 0.5611015727988287]",0.2011607493550686
4,16,"[0.8879458861199329, 0.1957056723336135]","[0.5131460905854898, 0.17924005478882832]","[0.6671525243482098, 0.5009374901855707]","[0.8261062967569287, -0.07226002000416037]","[0.9703929528406092, -0.27230058276238683]","[-0.4415867235434461, 0.6104636357039144]",0.21170408890962614
4,17,"[0.8871197798231759, 0.19577793235361765]","[0.5131460905854898, 0.17924005478882832]","[0.6693047882793792, 0.49414688514253946]","[0.9376548186690518, -0.24702951414613283]","[0.965762370019169, -0.26529319765934317]","[-0.4356299830875934, 0.5967379055778437]",0.20836352290118443
